InvoiceNo,Quantity,UnitPrice,Value,Time,CumulativeSum,BuyingClass,Frequency,CumulativeFreq,FrequencyClass
1670727,6,38.25,76.5,39,4972.809999999999,Low spender,1,47,Low Frequency
3878352,127,10.5,172.29000000000002,98,61138.84000000003,Low spender,1,48,Low Frequency
18709792,150,64.47000000000001,168.4,476,58239.230000000025,Low spender,1,49,Low Frequency
1712013,24,10.25,73.19999999999999,42,3693.8599999999997,Low spender,1,50,Low Frequency
2302324,104,8.54,73.67999999999999,44,3914.5399999999995,Low spender,1,51,Low Frequency
2702720,42,9.35,73.5,75,3767.3599999999997,Low spender,1,52,Low Frequency
1158370,25,19.15,114.6,30,20030.49999999999,Low spender,1,53,Low Frequency
4618704,150,15.170000000000002,166.07999999999998,112,56225.510000000024,Low spender,1,54,Low Frequency
9024707,92,83.78999999999999,167.61,193,56726.57000000002,Low spender,1,55,Low Frequency
13899160,53,56.830000000000005,114.34,288,19572.38999999999,Low spender,1,56,Low Frequency
26565506,146,96.34000000000002,167.61999999999998,552,56894.190000000024,Low spender,1,57,Low Frequency
3999464,33,38.15,165.04999999999998,77,55728.61000000002,Low spender,1,58,Low Frequency
32459874,91,108.76000000000005,165.07000000000005,696,55893.68000000002,Low spender,1,59,Low Frequency
22238970,109,81.64999999999999,167.66999999999996,507,57061.86000000002,Low spender,1,60,Low Frequency
5393510,100,16.8,168.0,110,57229.86000000002,Low spender,1,61,Low Frequency
1686408,126,11.45,168.0,27,57397.86000000002,Low spender,1,62,Low Frequency
8055362,268,12.559999999999999,168.12,210,57565.980000000025,Low spender,1,63,Low Frequency
4377960,96,20.320000000000004,114.55999999999999,64,19801.33999999999,Low spender,1,64,Low Frequency
12054840,44,72.81000000000002,114.39,273,19686.779999999988,Low spender,1,65,Low Frequency
5136075,67,53.75,172.25,135,60966.55000000003,Low spender,1,66,Low Frequency
4376472,34,27.8,172.9,96,61311.740000000034,Low spender,1,67,Low Frequency
5150070,152,22.250000000000004,154.88,126,45022.220000000016,Low spender,1,68,Low Frequency
8924240,182,43.37999999999998,114.56,224,19915.89999999999,Low spender,1,69,Low Frequency
541276,100,1.65,165.0,11,55398.56000000002,Low spender,1,70,Low Frequency
2867020,84,9.65,166.2,75,56391.71000000002,Low spender,1,71,Low Frequency
13943904,240,58.83000000000001,168.63,408,58576.46000000002,Low spender,1,72,Low Frequency
10685372,149,40.64000000000001,168.31000000000003,285,58070.83000000002,Low spender,1,73,Low Frequency
3764719,76,22.150000000000002,168.6,91,58407.83000000002,Low spender,1,74,Low Frequency
6352907,232,9.930000000000001,170.32,154,59765.27000000003,Low spender,1,75,Low Frequency
21540400,78,110.61000000000001,169.46999999999997,520,58745.93000000002,Low spender,1,76,Low Frequency
6878052,160,17.28,169.48000000000002,120,58915.410000000025,Low spender,1,77,Low Frequency
14375425,89,47.129999999999995,114.23,275,19458.04999999999,Low spender,1,78,Low Frequency
16474175,53,86.60000000000001,114.18000000000002,406,19343.81999999999,Low spender,1,79,Low Frequency
34214760,171,94.05000000000007,169.79000000000005,960,59254.75000000003,Low spender,1,80,Low Frequency
11148520,76,91.46000000000001,170.04,240,59424.79000000003,Low spender,1,81,Low Frequency
1738578,88,5.39,170.16,24,59594.95000000003,Low spender,1,82,Low Frequency
4450280,70,9.299999999999999,72.0,72,3547.7599999999998,Low spender,1,83,Low Frequency
4021759,70,7.09,71.66,98,3475.7599999999998,Low spender,1,84,Low Frequency
1137638,34,8.33,100.8,22,10568.359999999997,Low spender,1,85,Low Frequency
5940176,114,30.05,168.3,121,57902.520000000026,Low spender,1,86,Low Frequency
13665625,134,64.60000000000001,170.75,275,59936.02000000003,Low spender,1,87,Low Frequency
5768740,65,29.090000000000003,171.19,160,60107.210000000036,Low spender,1,88,Low Frequency
5185638,140,11.44,114.13999999999999,99,19229.63999999999,Low spender,1,89,Low Frequency
4983885,75,26.15,171.45000000000005,90,60278.66000000003,Low spender,1,90,Low Frequency
14847612,171,72.02000000000001,171.59,364,60450.25000000003,Low spender,1,91,Low Frequency
10408105,40,91.80000000000001,171.8,228,60622.05000000003,Low spender,1,92,Low Frequency
3779069,93,34.92,172.24999999999997,70,60794.30000000003,Low spender,1,93,Low Frequency
6590028,26,45.9,72.9,204,3620.66,Low spender,1,94,Low Frequency
11479566,138,29.810000000000002,138.28,273,33393.96,Low spender,1,95,Low Frequency
5080896,106,22.59,138.14000000000001,135,33255.68,Low spender,1,96,Low Frequency
5404790,90,22.599999999999998,135.9,150,31062.790000000005,Low spender,1,97,Low Frequency
4032679,92,11.63,139.56,63,34784.21,Low spender,1,98,Low Frequency
6299458,201,7.54,121.17999999999999,143,23461.139999999985,Low spender,1,99,Low Frequency
1639131,63,5.49,121.17000000000002,36,23339.959999999985,Low spender,1,100,Low Frequency
1642509,20,14.8,77.3,36,5280.3099999999995,Low spender,1,101,Low Frequency
12040560,51,78.46000000000001,149.30999999999995,252,40155.63,Low spender,1,102,Low Frequency
7293130,182,14.599999999999998,149.48,208,40305.11,Low spender,1,103,Low Frequency
1141444,76,6.01,96.12,22,9386.979999999998,Low spender,1,104,Low Frequency
3794903,73,19.75,120.95,105,23097.789999999986,Low spender,1,105,Low Frequency
7788550,55,51.77000000000001,149.89,154,40754.22,Low spender,1,106,Low Frequency
5657500,114,35.27,151.73999999999998,120,42115.060000000005,Low spender,1,107,Low Frequency
16735726,54,108.32000000000001,149.29000000000005,464,40006.32,Low spender,1,108,Low Frequency
1708995,3,76.85000000000001,76.85000000000001,39,5203.009999999999,Low spender,1,109,Low Frequency
5807160,172,17.200000000000003,150.9,160,41055.420000000006,Low spender,1,110,Low Frequency
7473843,130,27.840000000000003,151.04,195,41206.46000000001,Low spender,1,111,Low Frequency
5740980,87,30.4,151.05,100,41357.51000000001,Low spender,1,112,Low Frequency
6884964,177,16.72,151.3,108,41508.81000000001,Low spender,1,113,Low Frequency
18377007,49,134.44000000000003,151.42,396,41660.23000000001,Low spender,1,114,Low Frequency
4937472,62,30.5,151.5,99,41811.73000000001,Low spender,1,115,Low Frequency
7087366,443,7.369999999999999,151.58999999999997,182,41963.32000000001,Low spender,1,116,Low Frequency
11486895,94,39.29,141.41,273,35206.5,Low spender,1,117,Low Frequency
5696310,160,10.56,140.34000000000003,110,34924.549999999996,Low spender,1,118,Low Frequency
3854333,70,17.299999999999997,150.3,91,40904.520000000004,Low spender,1,119,Low Frequency
15281838,38,101.19000000000004,121.74000000000001,297,23582.879999999986,Low spender,1,120,Low Frequency
8188460,175,32.13,149.64000000000001,255,40604.33,Low spender,1,121,Low Frequency
2876935,64,5.85,76.8,75,5126.159999999999,Low spender,1,122,Low Frequency
6529284,91,37.8,173.05,120,61484.79000000004,Low spender,1,123,Low Frequency
2273532,40,16.700000000000003,152.20000000000002,36,43027.0,Low spender,1,124,Low Frequency
3273888,60,9.8,96.8,78,9580.379999999997,Low spender,1,125,Low Frequency
3828867,45,30.55,152.55,84,43331.950000000004,Low spender,1,126,Low Frequency
26711188,157,58.690000000000026,120.03,644,22855.939999999984,Low spender,1,127,Low Frequency
4354536,38,50.050000000000004,152.65,112,43484.600000000006,Low spender,1,128,Low Frequency
4515040,296,5.33,120.0,80,22735.909999999985,Low spender,1,129,Low Frequency
2804025,68,14.15,120.0,50,22615.909999999985,Low spender,1,130,Low Frequency
2310896,26,15.399999999999999,97.5,48,9677.879999999997,Low spender,1,131,Low Frequency
26893488,98,99.20000000000009,152.68000000000006,720,43637.280000000006,Low spender,1,132,Low Frequency
12217986,49,83.10000000000002,119.93000000000002,308,22495.909999999985,Low spender,1,133,Low Frequency
3991491,78,14.22,152.94000000000003,77,43790.22000000001,Low spender,1,134,Low Frequency
5418370,92,20.5,153.0,100,43943.22000000001,Low spender,1,135,Low Frequency
3250107,38,18.1,97.7,90,9775.579999999998,Low spender,1,136,Low Frequency
6848688,162,23.650000000000006,153.12000000000003,132,44096.34000000001,Low spender,1,137,Low Frequency
4326000,90,15.9,153.9,80,44250.24000000001,Low spender,1,138,Low Frequency
25978320,118,84.25,153.92000000000004,540,44404.16000000001,Low spender,1,139,Low Frequency
2856575,46,15.39,119.62,50,22375.979999999985,Low spender,1,140,Low Frequency
5975079,102,27.919999999999998,153.94000000000003,121,44558.10000000001,Low spender,1,141,Low Frequency
19999630,73,72.55000000000001,151.83,420,42418.69000000001,Low spender,1,142,Low Frequency
1133110,28,9.6,96.6,22,9483.579999999998,Low spender,1,143,Low Frequency
6158471,94,21.83,179.17,110,67659.86000000004,Low spender,1,144,Low Frequency
4064830,184,11.350000000000001,90.04000000000002,105,7624.569999999997,Low spender,1,145,Low Frequency
4461376,43,26.75,135.75,80,30791.030000000002,Low spender,1,146,Low Frequency
3448188,92,12.200000000000001,152.2,78,42874.8,Low spender,1,147,Low Frequency
3313884,64,8.2,90.6,96,7986.069999999997,Low spender,1,148,Low Frequency
15257564,86,61.58000000000001,127.85999999999999,420,27327.109999999997,Low spender,1,149,Low Frequency
2746595,39,15.950000000000003,129.45,50,27456.559999999998,Low spender,1,150,Low Frequency
578286,312,0.29,90.48,13,7895.469999999997,Low spender,1,151,Low Frequency
11270154,122,59.110000000000014,127.08000000000003,252,26816.449999999997,Low spender,1,152,Low Frequency
5557200,47,37.87,129.49,150,27586.05,Low spender,1,153,Low Frequency
1613448,29,20.75,129.75,39,27715.8,Low spender,1,154,Low Frequency
1131858,73,16.06,91.32000000000001,20,8167.989999999997,Low spender,1,155,Low Frequency
4029326,106,12.989999999999998,126.14,84,26436.419999999995,Low spender,1,156,Low Frequency
8687595,161,31.560000000000002,127.85999999999999,210,27199.249999999996,Low spender,1,157,Low Frequency
3348564,17,44.0,131.45,78,27977.99,Low spender,1,158,Low Frequency
4432064,66,22.599999999999998,131.7,96,28109.690000000002,Low spender,1,159,Low Frequency
2167912,12,30.6,91.80000000000001,56,8259.789999999997,Low spender,1,160,Low Frequency
29480295,67,112.48000000000008,131.78000000000006,714,28241.47,Low spender,1,161,Low Frequency
4889520,82,14.349999999999998,131.9,126,28373.370000000003,Low spender,1,162,Low Frequency
7428759,67,33.32,131.94,169,28505.31,Low spender,1,163,Low Frequency
3987879,30,49.68,133.06,105,28638.370000000003,Low spender,1,164,Low Frequency
9387366,60,30.33,90.12,238,7714.689999999997,Low spender,1,165,Low Frequency
5958700,145,17.040000000000003,135.75,99,30655.280000000002,Low spender,1,166,Low Frequency
4611040,230,10.489999999999998,135.86,72,30926.890000000003,Low spender,1,167,Low Frequency
2732180,44,32.7,126.7,45,26689.369999999995,Low spender,1,168,Low Frequency
9328019,30,77.47000000000001,127.84000000000002,204,27071.389999999996,Low spender,1,169,Low Frequency
6297731,134,19.730000000000004,130.74,165,27846.54,Low spender,1,170,Low Frequency
3271422,121,14.49,133.25,60,28771.620000000003,Low spender,1,171,Low Frequency
1636710,52,8.29,126.03999999999999,48,26184.159999999996,Low spender,1,172,Low Frequency
17964407,86,71.9,133.50000000000006,465,29038.47,Low spender,1,173,Low Frequency
2776210,88,19.990000000000002,133.56,65,29172.030000000002,Low spender,1,174,Low Frequency
2876850,44,16.35,125.80000000000001,75,26058.119999999995,Low spender,1,175,Low Frequency
3942813,84,28.279999999999998,508.46000000000004,84,471257.6300000007,Low spender,1,176,Low Frequency
4438920,52,37.87,134.04,80,29306.070000000003,Low spender,1,177,Low Frequency
6687804,24,80.95000000000002,134.1,192,29440.170000000002,Low spender,1,178,Low Frequency
4064900,78,16.02,89.94,112,7444.529999999997,Low spender,1,179,Low Frequency
3429972,117,16.409999999999997,125.79,72,25932.319999999996,Low spender,1,180,Low Frequency
14941966,94,50.36999999999999,134.46,338,29574.63,Low spender,1,181,Low Frequency
539864,39,3.45,134.55,9,29709.18,Low spender,1,182,Low Frequency
3311340,58,17.6,134.7,54,29843.88,Low spender,1,183,Low Frequency
4412344,22,71.9,134.8,72,29978.68,Low spender,1,184,Low Frequency
5690030,71,25.98,134.96,180,30113.64,Low spender,1,185,Low Frequency
2720420,40,14.350000000000001,89.2,80,7354.589999999997,Low spender,1,186,Low Frequency
28271300,109,97.33000000000003,135.17999999999995,600,30248.82,Low spender,1,187,Low Frequency
29616392,64,125.05000000000001,135.31000000000003,832,30384.13,Low spender,1,188,Low Frequency
4846608,59,48.5,135.4,126,30519.530000000002,Low spender,1,189,Low Frequency
5087178,129,19.06,89.06,90,7265.389999999998,Low spender,1,190,Low Frequency
2308128,56,12.100000000000001,91.80000000000001,52,8351.589999999997,Low spender,1,191,Low Frequency
4063745,43,41.84,126.12,112,26310.279999999995,Low spender,1,192,Low Frequency
4347856,32,36.25,133.35,136,28904.97,Low spender,1,193,Low Frequency
23509113,781,63.00000000000002,507.66000000000014,615,470241.33000000066,Low spender,1,194,Low Frequency
3828398,69,23.45,177.14999999999998,56,64982.53000000004,Low spender,1,195,Low Frequency
7244432,246,13.46,177.34000000000003,143,65159.87000000004,Low spender,1,196,Low Frequency
3406260,48,22.9,159.0,60,49885.72000000002,Low spender,1,197,Low Frequency
1700265,108,3.5300000000000002,117.23999999999998,45,21072.94999999999,Low spender,1,198,Low Frequency
5796710,75,34.23,160.18,120,50205.75000000002,Low spender,1,199,Low Frequency
5765570,229,32.870000000000005,160.19,130,50365.940000000024,Low spender,1,200,Low Frequency
1733424,44,8.75,75.0,24,4287.0199999999995,Low spender,1,201,Low Frequency
10621342,43,87.08000000000001,160.42000000000002,247,50686.71000000002,Low spender,1,202,Low Frequency
15432564,84,58.70000000000001,160.54,420,50847.25000000002,Low spender,1,203,Low Frequency
4904145,68,35.699999999999996,116.19999999999997,117,20955.70999999999,Low spender,1,204,Low Frequency
16687380,176,79.53,161.38000000000002,480,52135.09000000001,Low spender,1,205,Low Frequency
14704092,307,97.21000000000002,497.61000000000007,312,455681.3700000008,Low spender,1,206,Low Frequency
18430624,147,49.48000000000001,116.01000000000002,384,20839.509999999987,Low spender,1,207,Low Frequency
5513920,63,40.6,160.95,120,51329.48000000002,Low spender,1,208,Low Frequency
4951656,103,14.509999999999998,116.01,162,20723.49999999999,Low spender,1,209,Low Frequency
7996492,134,30.9,161.0,140,51490.48000000002,Low spender,1,210,Low Frequency
4828761,38,64.1,161.00000000000003,117,51651.48000000002,Low spender,1,211,Low Frequency
3414522,144,4.16,74.4,72,4137.12,Low spender,1,212,Low Frequency
25570248,82,105.82000000000002,161.02999999999994,572,51812.51000000002,Low spender,1,213,Low Frequency
23660116,100,95.47000000000001,161.20000000000002,615,51973.710000000014,Low spender,1,214,Low Frequency
3417450,74,9.08,108.38,60,14318.109999999999,Low spender,1,215,Low Frequency
13224048,358,36.150000000000006,413.46000000000004,216,355128.16000000044,Low spender,1,216,Low Frequency
1136660,31,14.58,74.9,28,4212.0199999999995,Low spender,1,217,Low Frequency
1716567,55,13.350000000000001,240.55,33,124187.44000000016,Low spender,1,218,Low Frequency
5470990,69,30.599999999999998,158.95000000000002,100,49726.72000000002,Low spender,1,219,Low Frequency
32451410,94,127.97999999999999,163.54999999999998,870,54248.49000000001,Low spender,1,220,Low Frequency
542099,10,9.95,99.5,13,10367.059999999998,Low spender,1,221,Low Frequency
3931844,30,38.4,115.8,63,20607.48999999999,Low spender,1,222,Low Frequency
5453430,62,43.5,162.3,90,53107.03000000001,Low spender,1,223,Low Frequency
2682670,51,13.350000000000001,115.65,65,20491.68999999999,Low spender,1,224,Low Frequency
5674600,67,28.53,162.64000000000001,120,53269.67000000001,Low spender,1,225,Low Frequency
9279501,96,49.050000000000004,162.70000000000005,221,53432.37000000001,Low spender,1,226,Low Frequency
35817152,122,111.03000000000003,163.07,682,53758.44000000001,Low spender,1,227,Low Frequency
7511738,144,45.90000000000001,161.67,117,52458.40000000001,Low spender,1,228,Low Frequency
2177312,34,15.1,100.5,64,10467.559999999998,Low spender,1,229,Low Frequency
18318752,66,90.67000000000003,160.56999999999994,384,51007.82000000002,Low spender,1,230,Low Frequency
5021532,123,15.25,158.85,144,49567.770000000026,Low spender,1,231,Low Frequency
8507625,32,57.9,115.46000000000002,195,20376.03999999999,Low spender,1,232,Low Frequency
18065696,111,62.99,163.8,576,54575.91000000002,Low spender,1,233,Low Frequency
16185596,129,107.55000000000003,164.23000000000002,420,54740.14000000002,Low spender,1,234,Low Frequency
15553863,164,57.02,164.34,405,54904.48000000002,Low spender,1,235,Low Frequency
2695160,40,11.549999999999999,74.4,70,4062.72,Low spender,1,236,Low Frequency
7093645,136,19.150000000000002,164.4,195,55068.88000000002,Low spender,1,237,Low Frequency
30287433,87,115.76000000000005,161.94,742,52620.34000000001,Low spender,1,238,Low Frequency
4033568,156,8.57,161.64,91,52296.73000000001,Low spender,1,239,Low Frequency
5452140,100,30.669999999999998,158.68,160,49408.92000000003,Low spender,1,240,Low Frequency
6698388,50,62.0,163.29999999999998,144,54084.94000000001,Low spender,1,241,Low Frequency
6972992,190,62.150000000000006,489.6,117,446291.2100000007,Low spender,1,242,Low Frequency
44065791,218,218.25999999999993,490.52,847,447271.9500000007,Low spender,1,243,Low Frequency
19004865,498,52.140000000000015,491.86,495,448254.6700000007,Low spender,1,244,Low Frequency
16601220,299,53.309999999999995,463.38000000000005,420,415301.8400000006,Low spender,1,245,Low Frequency
3433128,140,17.55,463.8,66,416229.1000000006,Low spender,1,246,Low Frequency
4391296,95,37.45,463.95,72,416693.0500000006,Low spender,1,247,Low Frequency
10982420,302,50.05,465.32,260,418552.22000000067,Low spender,1,248,Low Frequency
13724574,155,107.66000000000001,467.50999999999993,312,420884.70000000065,Low spender,1,249,Low Frequency
44748473,266,153.94000000000008,469.47999999999985,1078,423227.2800000006,Low spender,1,250,Low Frequency
9240605,130,79.73,470.35999999999996,170,423697.6400000006,Low spender,1,251,Low Frequency
11517400,219,71.19,473.65,240,427474.0600000007,Low spender,1,252,Low Frequency
57722800,300,245.99000000000004,460.88999999999993,1200,412990.18000000063,Low spender,1,253,Low Frequency
8706480,418,19.17,486.22,180,441415.85000000073,Low spender,1,254,Low Frequency
16178430,283,80.45,476.34999999999997,450,429850.6700000007,Low spender,1,255,Low Frequency
17423395,325,86.94000000000003,477.9100000000001,310,431284.20000000065,Low spender,1,256,Low Frequency
8082240,81,83.00000000000003,479.3500000000001,180,433198.9500000007,Low spender,1,257,Low Frequency
17131590,232,100.65000000000003,480.50000000000017,390,433679.4500000007,Low spender,1,258,Low Frequency
17079810,346,58.620000000000005,480.71,360,434160.16000000073,Low spender,1,259,Low Frequency
14954264,200,128.32,481.75,416,434641.91000000073,Low spender,1,260,Low Frequency
36313129,258,191.97999999999988,483.85999999999996,1072,438506.16000000073,Low spender,1,261,Low Frequency
49564036,524,106.11000000000004,484.3799999999998,1290,439474.86000000074,Low spender,1,262,Low Frequency
15380876,131,164.65,484.95,252,440444.63000000076,Low spender,1,263,Low Frequency
15751669,235,129.88000000000002,475.3699999999999,493,428898.5200000007,Low spender,1,264,Low Frequency
18268000,391,79.60000000000001,460.12999999999994,544,411608.0600000006,Low spender,1,265,Low Frequency
12532861,165,113.85000000000004,462.95000000000005,322,414838.4600000006,Low spender,1,266,Low Frequency
17374560,382,64.73,473.2,390,427000.4100000007,Low spender,1,267,Low Frequency
25649370,162,186.44999999999996,492.35999999999996,506,448747.03000000067,Low spender,1,268,Low Frequency
13632850,167,99.81000000000002,499.11999999999995,350,459172.51000000077,Low spender,1,269,Low Frequency
15684621,197,132.55,492.6499999999999,261,449239.6800000007,Low spender,1,270,Low Frequency
41222016,453,199.97999999999993,492.8400000000001,1080,449732.5200000007,Low spender,1,271,Low Frequency
15869868,375,49.620000000000005,494.24999999999994,280,451214.13000000076,Low spender,1,272,Low Frequency
15193752,232,100.18000000000002,494.64000000000004,280,452203.2100000008,Low spender,1,273,Low Frequency
15957732,292,80.14000000000001,496.4399999999999,476,453691.6300000008,Low spender,1,274,Low Frequency
81782987,301,271.2499999999998,497.13999999999976,2145,454188.77000000083,Low spender,1,275,Low Frequency
7304830,122,58.49,498.47999999999996,130,456678.2700000008,Low spender,1,276,Low Frequency
14831127,269,98.17000000000002,487.51,216,444337.67000000074,Low spender,1,277,Low Frequency
14883908,365,62.90000000000001,498.74,312,457675.64000000077,Low spender,1,278,Low Frequency
10834693,144,121.55000000000001,499.32,152,459671.8300000008,Low spender,1,279,Low Frequency
7946722,114,195.52999999999992,507.8399999999999,168,470749.1700000007,Low spender,1,280,Low Frequency
96377823,3028,705.3300000000003,4873.810000000005,1368,4045339.8000000017,Mid spender,1,281,Low Frequency
557509,400,1.25,500.0,16,461670.60000000073,Low spender,1,282,Low Frequency
16832040,291,135.65000000000006,501.14000000000004,420,463173.2800000007,Low spender,1,283,Low Frequency
17593430,350,112.90000000000002,504.84,279,466696.0300000007,Low spender,1,284,Low Frequency
22154418,1076,22.15000000000001,505.18000000000006,507,467706.3100000007,Low spender,1,285,Low Frequency
14464866,223,123.67000000000003,506.18999999999994,286,468212.5000000007,Low spender,1,286,Low Frequency
52700284,409,187.19999999999996,507.0799999999998,1092,469226.3800000007,Low spender,1,287,Low Frequency
14486553,160,134.65,487.75,378,444825.42000000074,Low spender,1,288,Low Frequency
10619252,256,124.93,487.02,171,443363.10000000073,Low spender,1,289,Low Frequency
27671231,232,53.39000000000002,162.2899999999999,539,52944.73000000001,Low spender,1,290,Low Frequency
5509600,68,45.13,162.10000000000002,160,52782.44000000001,Low spender,1,291,Low Frequency
6705096,40,29.47,99.14000000000001,144,10267.559999999998,Low spender,1,292,Low Frequency
22215645,67,109.65000000000002,162.99999999999997,492,53595.37000000001,Low spender,1,293,Low Frequency
3221112,106,4.8100000000000005,71.14,54,3261.2999999999997,Low spender,1,294,Low Frequency
4026162,108,6.71,71.0,119,3190.16,Low spender,1,295,Low Frequency
541431,74215,1.04,77183.6,10,7389809.710000001,Top spender,1,296,Low Frequency
3440052,73,20.34,114.11,66,19115.49999999999,Low spender,1,297,Low Frequency
2174148,10,33.4,69.3,52,3049.14,Low spender,1,298,Low Frequency
5116428,66,29.55,173.89999999999998,99,62353.05000000004,Low spender,1,299,Low Frequency
4864689,78,20.2,114.0,108,19001.38999999999,Low spender,1,300,Low Frequency
15957228,68,83.91000000000001,175.72,448,64276.150000000045,Low spender,1,301,Low Frequency
19149174,64,98.52000000000002,174.37,429,62701.39000000004,Low spender,1,302,Low Frequency
1615056,46,15.350000000000001,173.7,45,61831.65000000004,Low spender,1,303,Low Frequency
9117792,278,43.19,174.37,224,62875.760000000046,Low spender,1,304,Low Frequency
7670768,60,70.2,174.79999999999998,168,63224.96000000005,Low spender,1,305,Low Frequency
5162292,52,55.8,174.9,135,63399.86000000005,Low spender,1,306,Low Frequency
2848420,44,14.65,90.6,70,8076.669999999997,Low spender,1,307,Low Frequency
549187,16,10.95,175.2,10,63749.96000000005,Low spender,1,308,Low Frequency
562609,16,10.95,175.2,11,63925.16000000005,Low spender,1,309,Low Frequency
15959512,123,61.890000000000015,175.27,377,64100.430000000044,Low spender,1,310,Low Frequency
17402820,84,88.60000000000001,164.68,420,55233.56000000002,Low spender,1,311,Low Frequency
10120194,28,89.05000000000001,114.77000000000002,252,20145.26999999999,Low spender,1,312,Low Frequency
11870229,78,58.64,115.30999999999999,210,20260.57999999999,Low spender,1,313,Low Frequency
5918077,92,31.35,174.4,132,63050.16000000005,Low spender,1,314,Low Frequency
546828,12,5.95,71.4,11,3332.7,Low spender,1,315,Low Frequency
563740,12,5.95,71.4,8,3404.1,Low spender,1,316,Low Frequency
20571444,80,101.39,173.97000000000003,432,62527.02000000004,Low spender,1,317,Low Frequency
2760160,13,26.949999999999996,67.94999999999999,90,2910.9999999999995,Low spender,1,318,Low Frequency
536403,96,1.85,177.60000000000002,11,65514.97000000004,Low spender,1,319,Low Frequency
10313124,166,21.309999999999995,178.21999999999997,209,65871.24000000003,Low spender,1,320,Low Frequency
2171700,88,5.02,113.64,36,18887.38999999999,Low spender,1,321,Low Frequency
